Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
Texts	PuteriGunungLedang.txt	1	137	145	adindaku					1	0	1	0
Texts	PuteriGunungLedang.txt	2	186	192	Adinda					1	1	0	0
Texts	PuteriGunungLedang.txt	3	322	333	Tuan Puteri					1	0	0	1
Texts	PuteriGunungLedang.txt	4	399	405	Adinda					1	1	0	0
Texts	PuteriGunungLedang.txt	5	448	454	adinda					1	1	0	0
Texts	PuteriGunungLedang.txt	6	502	513	Tuan Puteri					1	0	1	0
Texts	PuteriGunungLedang.txt	7	605	608	aku					1	1	0	0
Texts	PuteriGunungLedang.txt	8	711	722	Tuan Puteri					1	0	0	1
Texts	PuteriGunungLedang.txt	9	724	735	Tuan Puteri					1	0	0	1
Texts	PuteriGunungLedang.txt	10	749	760	Tuan Puteri					1	0	0	1
Texts	PuteriGunungLedang.txt	11	771	774	Aku					1	1	0	0
Texts	PuteriGunungLedang.txt	12	894	896	ku					1	1	0	0
Texts	PuteriGunungLedang.txt	13	907	910	Aku					1	1	0	0
Texts	PuteriGunungLedang.txt	14	990	1001	Tuan Puteri					1	0	0	1
Texts	PuteriGunungLedang.txt	15	2363	2365	mu					1	0	1	0
Texts	PuteriGunungLedang.txt	16	2399	2401	mu					1	0	1	0
Texts	PuteriGunungLedang.txt	17	2541	2545	Tuah					1	0	1	0
Texts	PuteriGunungLedang.txt	18	2575	2579	Tuah					1	0	1	0
Texts	PuteriGunungLedang.txt	19	2631	2635	Tuah					1	0	1	0
Texts	PuteriGunungLedang.txt	20	2732	2735	kau					1	0	1	0
Texts	PuteriGunungLedang.txt	21	3034	3038	Tuah					1	0	0	1
Texts	PuteriGunungLedang.txt	22	3056	3062	engkau					1	0	1	0
Texts	PuteriGunungLedang.txt	23	3184	3186	ku					1	1	0	0
Texts	PuteriGunungLedang.txt	24	3210	3212	ku					1	1	0	0
Texts	PuteriGunungLedang.txt	25	3220	3225	Jebat					1	0	0	1
Texts	PuteriGunungLedang.txt	26	3286	3290	Beta					1	1	0	0
Texts	PuteriGunungLedang.txt	27	3338	3342	Beta					1	1	0	0
Texts	PuteriGunungLedang.txt	28	3382	3386	Beta					1	1	0	0
Texts	PuteriGunungLedang.txt	29	3540	3544	beta					1	1	0	0
Texts	PuteriGunungLedang.txt	30	3639	3645	Tuanku					1	0	0	1
Texts	PuteriGunungLedang.txt	31	3768	3783	Datuk Laksamana					1	0	0	1
Texts	PuteriGunungLedang.txt	32	3834	3840	Tuanku					1	0	0	1
Texts	PuteriGunungLedang.txt	33	3873	3879	Tuanku					1	0	1	0
Texts	PuteriGunungLedang.txt	34	3941	3947	Tuanku					1	0	0	1
Texts	PuteriGunungLedang.txt	35	4033	4048	Datuk Bendahara					1	0	0	1
Texts	PuteriGunungLedang.txt	36	4093	4097	Tuah					1	0	0	1
Texts	PuteriGunungLedang.txt	37	4099	4103	Tuah					1	0	0	1
Texts	PuteriGunungLedang.txt	38	4128	4134	Tuanku					1	0	1	0
Texts	PuteriGunungLedang.txt	39	4348	4363	Datuk Laksamana					1	0	0	1
Texts	PuteriGunungLedang.txt	40	4517	4522	datuk					1	1	0	0
