1-1	Heloaooo.	こんにちは。
1-2	Saya Faridah dari Program Bahasa Melayu, Universiti Bahasa Asing Tokyo atau TUFS.	東京外国語大学（TUFS）マレーシア語プログラムのファリダです。
1-3	Dalam video ini saya hendak memperkenalkan Program Bahasa Melayu di TUFS untuk pelajar-pelajar sekolah tinggi supaya pelajar semua boleh pilih jurusan masing-masing di universiti nanti.	この動画では高校生に向けて、大学での専攻を選べるように、東京外大マレーシア語プログラムを紹介をします。
2-1	Baiklah, terdapat dua perkara yang boleh dibanggakan berhubung dengan Program Bahasa Melayu di TUFS.	さて、東京外大マレーシア語プログラムには2つの誇るべき点があります。
2-2	Pertama, Program Bahasa Melayu di TUFS adalah satu-satunya program bahasa Melayu di Jepun yang mempunyai kursus bahasa Melayu yang cuuukup lengkap.	まず、東京外大マレーシア語プログラムは日本で唯一、完全なマレー語の授業があるマレー語プログラムです。
2-3	TUFS mempunyai kursus bahasa Melayu dari tahap asas hinggalah ke tahap tinggi yang unggul.	東京外大には初級から超級までのマレー語の授業があります。
2-4	Selain itu, di TUFS, Program Bahasa Melayu dan Program Bahasa Indonesia wujud secara berasingan, tidak disatukan seperti di universiti-universiti lain di Jepun.	また、東京外大ではマレー語プログラムとインドネシア語プログラムが別々にあり、国内他大学と違って一緒にされてません。
2-5	Kedua ialah saiz kelas yang kecil.	2つ目は、クラスサイズが小さいことです。
2-6	Pada setiap tahun, jumlah pelajar yang diambil oleh TUFS adalah seramai lebih kurang 10 orang sahaja.	毎年、東京外大が取る学生の数は10名程度に限られます。
3-1	Sekiranya anda masuk ke Program Bahasa Melayu TUFS, jadual kelas anda adalah seperti berikut.	東京外大マレーシア語プログラムに入学したら、時間割表は次のようになります。
3-2	Bagi dua tahun pertama, anda akan memberi tumpuan kepada pembelajaran bahasa Melayu.	最初の2年間はマレー語の勉強を集中的に行います。
3-3	Seronok, kan!	楽しそうでしょ？
3-4	Selain bahasa Melayu, anda juga akan belajar tentang masyarakat Malaysia dan Asia Tenggara.	マレー語の他にマレーシアや東南アジアの社会についても学びます。
3-5	Setelah bahasa Melayu anda menjadi cukup baik, anda mula menceburi bidang pengkhususan masing-masing.	マレー語が十分上達したところで各自の専門分野の勉強に入ります。
3-6	Contohnya, bidang linguistik, sosiologi, antropologi, politik, ekonomi dan lain-lain lagi.	例えば、言語学、社会学、人類学、政治学、経済学などです。
3-7	Pada tahun ketiga, anda juga boleh mula belajar bahasa jurusan lain seperti bahasa Indonesia, bahasa Turki dan sebagainya.	3年目には、インドネシア語やトルコ語など、他専攻の言語を勉強し始めることもできます。
4-1	Mungkin anda tidak tahu bagaimana bentuk rupa bahasa Melayu?	マレー語がどんな感じか知らないかもしれませんね。
4-2	Bahasa Melayu bahasa yang macam mana?	マレー語はどんな言語なんでしょうか？
4-3	Bahasa Melayu juga kadang-kadang dipanggil bahasa Malaysia.	マレー語は「マレーシア語」と呼ばれることもあります。
4-4	Bahasa Melayu bahasa kebangsaan di Malaysia, Singapura dan Brunei.	マレー語はマレーシア、シンガポール、ブルネイの国語です。
4-5	Baanyakkk kosa kata dan tatabahasa dalam bahasa Melayu hampir serupa dengan bahasa Indonesia sebab bahasa-bahasa ini berasal dari satu rumpun yang sama.	共通の祖先から発生した言語であるために、マレー語の語彙や文法はインドネシア語とほぼ同じものがたくさんあります。
4-6	Bahasa Melayu senang betullll hendak belajar!	マレー語はとても学びやすい言語です！
4-7	Cuba fahamkan penerangan berikut.	これから説明するので、考えてみて下さいね。
4-8	Bahasa Melayu guna huruf rumi.	マレー語はローマ字を使います。
4-9	Artikel seperti "the" dan "a" dalam bahasa Inggeris, tidak perlu dalam bahasa Melayu.	マレー語では、英語のtheやaのような冠詞は必要ありません。
4-10	Perubahan seperti "I-my-me" pun tidak ada dalam bahasa Melayu.	マレー語にはI-my-meのような語形変化もありません。
4-11	Bentuk kata ganti nama, sama sahaja, tidak kira pada kedudukan subjek atau objek.	主語や目的語の位置にかかわらず、代名詞の形は同じです
4-12	Saya tolong AWAK.	Saya tolong AWAK. (私が君を手伝う)
4-13	AWAK tolong dia.	AWAK tolong dia. (君が彼[女]を手伝う)
4-14	Kata kerja pun tidak berubah bentuknya sama seperti bahasa Inggeris.	動詞も英語のように語形変化することがありません。
4-15	Bila subjek "saya", bentuk kata kerja "tolong".	主語がsaya (私)の時、動詞の形はtolongです。
4-16	Bila subjek "awak" pun "tolong" juga.	主語がawak (君)の時もtolongです。
4-17	Bila subjek "dia" pun "tolong" juga.	主語がdia (彼[女])の時もtolongです。
4-18	Dalam bahasa Inggeris, I help, she helps.	英語だと、I help、she helpsですね。
4-19	Dalam bahasa Melayu tidak ada kalaaa.	マレー語には時制がありません。
4-20	Maka, kesemua ayat bahasa Melayu tadi boleh membawa maksud "tetsudaU" dan juga "tetsudatTA".	なので、先程の文はすべて「手伝う」も「手伝った」も意味します。
4-21	Urutan kata pula sama seperti bahasa Inggeris: SVO.	語順は英語と同じSVOです。
5-1	Bila belajar sesuatu bahasa, kita juga belajar tentang negaranya.	言語を学ぶ時には、その言語が話されている国についても学びます。
5-2	Maka, sekarang, saya hendak memperkenalkan negara Malaysia.	そこで、マレーシアという国について紹介したいと思います。
5-3	Malaysia terletak di Asia Tenggara dan terdiri daripada dua bahagian, iaitu Semenanjung Malaysia dan bahagian utara Pulau Borneo.	マレーシアは東南アジアに位置し、半島マレーシアとボルネオ島北部の2つの部分から成り立ちます。
5-4	Jumlah penduduk Malaysia kira-kira 33 juta orang.	マレーシアの人口は約3,300万人です。
5-5	Malaysia sebuah negara berbilang bangsa.	マレーシアは多民族国家です
5-6	Selain kaum Melayu dan kaum pribumi yang lain, di Malaysia juga ada kaum Cina dan India.	マレー人とその他の先住民族に加え、マレーシアには華人やインド人もいます。
5-7	Agama rasmi Malaysia agama Islam.	マレーシアの国教はイスラーム教です。
5-8	Tetapi Malaysia juga ada ramai penduduk yang beragama Kristian, Hindu dan Buddha.	ですが、マレーシアにはキリスト教、ヒンドゥー教、仏教を信じる人も大勢います。
5-9	Dari segi bahasa pula, bahasa kebangsaan dan bahasa rasmi Malaysia adalah bahasa Melayu.	言語面では、マレーシアの国語・公用語はマレー語です。
5-10	Tetapi baaaanyak bahasa lain digunakan di Malaysia.	ですが、マレーシアでは他にも数多くの言語が使われています。
5-11	Contohnya, bahasa Cina dan bahasa Tamil.	例えば、華語やタミル語です。
5-12	Bahasa Inggeris pun digunakan di bandar raya besar seperti Kuala Lumpur.	クアラルンプールのような大都市では英語も用いられます。
5-13	Hubungan antara Malaysia dan Jepun sanggggat erat.	マレーシアと日本との関係は非常に密接です。
